Tamanho;Cenario;Algoritmo;Dado;Media;DesvioPadrao;Minimo;Maximo;Mediana;CV;IC95_Superior;IC95_Inferior
1000;ParcialmenteOrdenado;BubbleSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;ParcialmenteOrdenado;BubbleSort;TEMPO;8605306.67;232603.37;8237200.00;9114400.00;8585300.00;2.70;8688542.72;8522070.62
1000;ParcialmenteOrdenado;BubbleSort;MEM_AUX;17.00;0.00;17.00;17.00;17.00;0.00;17.00;17.00
1000;ParcialmenteOrdenado;InsertionSort;COMPARACOES;200899.87;10401.47;174361.00;220493.00;201125.00;5.18;204621.99;197177.75
1000;ParcialmenteOrdenado;InsertionSort;TROCAS;100950.53;5200.66;87682.00;110748.00;101063.00;5.15;102811.57;99089.50
1000;ParcialmenteOrdenado;InsertionSort;ACESSOS;402800.93;20802.80;349725.00;441989.00;403251.00;5.16;410245.12;395356.75
1000;ParcialmenteOrdenado;InsertionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;ParcialmenteOrdenado;InsertionSort;TEMPO;2179033.33;106159.19;1889800.00;2340400.00;2195350.00;4.87;2217021.91;2141044.76
1000;ParcialmenteOrdenado;InsertionSort;MEM_AUX;16.00;0.00;16.00;16.00;16.00;0.00;16.00;16.00
1000;ParcialmenteOrdenado;SelectionSort;COMPARACOES;499500.00;0.00;499500.00;499500.00;499500.00;0.00;499500.00;499500.00
1000;ParcialmenteOrdenado;SelectionSort;TROCAS;198.67;0.71;196.00;199.00;199.00;0.36;198.92;198.41
1000;ParcialmenteOrdenado;SelectionSort;ACESSOS;999794.67;2.84;999784.00;999796.00;999796.00;0.00;999795.68;999793.65
1000;ParcialmenteOrdenado;SelectionSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1000;ParcialmenteOrdenado;SelectionSort;TEMPO;6515593.33;102959.11;6308300.00;6756700.00;6523450.00;1.58;6552436.78;6478749.89
1000;ParcialmenteOrdenado;SelectionSort;MEM_AUX;20.00;0.00;20.00;20.00;20.00;0.00;20.00;20.00
1000;ParcialmenteOrdenado;MergeSort;COMPARACOES;8381.33;59.92;8226.00;8482.00;8393.50;0.71;8402.77;8359.89
1000;ParcialmenteOrdenado;MergeSort;TROCAS;19952.00;0.00;19952.00;19952.00;19952.00;0.00;19952.00;19952.00
1000;ParcialmenteOrdenado;MergeSort;ACESSOS;56666.67;119.83;56356.00;56868.00;56691.00;0.21;56709.55;56623.78
1000;ParcialmenteOrdenado;MergeSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;ParcialmenteOrdenado;MergeSort;TEMPO;409093.33;13609.73;396100.00;462300.00;408950.00;3.33;413963.51;404223.15
1000;ParcialmenteOrdenado;MergeSort;MEM_AUX;4144.00;0.00;4144.00;4144.00;4144.00;0.00;4144.00;4144.00
1000;ParcialmenteOrdenado;QuickSort;COMPARACOES;16597.27;3069.90;11837.00;25611.00;15933.00;18.50;17695.82;15498.72
1000;ParcialmenteOrdenado;QuickSort;TROCAS;4034.83;646.97;2924.00;5573.00;4066.00;16.03;4266.35;3803.32
1000;ParcialmenteOrdenado;QuickSort;ACESSOS;33457.10;3944.88;28154.00;46063.00;33079.00;11.79;34868.76;32045.44
1000;ParcialmenteOrdenado;QuickSort;PROF_REC;35.03;6.13;21.00;51.00;35.50;17.51;37.23;32.84
1000;ParcialmenteOrdenado;QuickSort;TEMPO;239020.00;27518.63;203400.00;323000.00;236650.00;11.51;248867.41;229172.59
1000;ParcialmenteOrdenado;QuickSort;MEM_AUX;560.53;98.14;336.00;816.00;568.00;17.51;595.65;525.42
1000;ParcialmenteOrdenado;QuickSortRandomizado;COMPARACOES;11184.10;569.95;10176.00;12471.00;10967.50;5.10;11388.05;10980.15
1000;ParcialmenteOrdenado;QuickSortRandomizado;TROCAS;4940.47;526.70;4033.00;5965.00;4914.00;10.66;5128.94;4751.99
1000;ParcialmenteOrdenado;QuickSortRandomizado;ACESSOS;31611.73;2460.00;27626.00;36721.00;31671.00;7.78;32492.03;30731.43
1000;ParcialmenteOrdenado;QuickSortRandomizado;PROF_REC;20.50;2.01;17.00;25.00;20.50;9.82;21.22;19.78
1000;ParcialmenteOrdenado;QuickSortRandomizado;TEMPO;244676.67;16709.25;222200.00;297200.00;240000.00;6.83;250656.00;238697.34
1000;ParcialmenteOrdenado;QuickSortRandomizado;MEM_AUX;410.00;40.26;340.00;500.00;410.00;9.82;424.41;395.59
1000;ParcialmenteOrdenado;HeapSort;COMPARACOES;17282.13;17.08;17256.00;17320.00;17281.50;0.10;17288.24;17276.02
1000;ParcialmenteOrdenado;HeapSort;TROCAS;9485.37;15.10;9447.00;9509.00;9485.00;0.16;9490.77;9479.96
1000;ParcialmenteOrdenado;HeapSort;ACESSOS;72505.73;90.04;72300.00;72676.00;72494.00;0.12;72537.95;72473.51
1000;ParcialmenteOrdenado;HeapSort;PROF_REC;9.00;0.00;9.00;9.00;9.00;0.00;9.00;9.00
1000;ParcialmenteOrdenado;HeapSort;TEMPO;447203.33;12933.45;436300.00;473800.00;438800.00;2.89;451831.51;442575.16
1000;ParcialmenteOrdenado;HeapSort;MEM_AUX;144.00;0.00;144.00;144.00;144.00;0.00;144.00;144.00
1000;ParcialmenteOrdenado;ShellSort;COMPARACOES;14306.20;687.53;13052.00;15729.00;14232.00;4.81;14552.23;14060.17
1000;ParcialmenteOrdenado;ShellSort;TROCAS;12690.17;344.23;12058.00;13392.00;12651.00;2.71;12813.35;12566.98
1000;ParcialmenteOrdenado;ShellSort;ACESSOS;39686.53;1375.93;37168.00;42513.00;39534.00;3.47;40178.90;39194.16
1000;ParcialmenteOrdenado;ShellSort;PROF_REC;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
